symbol,strategy,start_date,end_date,騰落率,平均勝率,平均取引日数,平均期待損益率,一日当たりの期待損益率平均,平均期待損益率long,一日当たりの期待損益率平均long,平均期待損益率short,一日当たりの期待損益率平均short,取引当たりの平均日数,平均取引数
ETHUSD,超短期ボリンジャー6日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,158.67,44.64,156.0,2.17,0.78,2.5,0.87,1.92,0.71,2.79,56.0
ETHUSD,超短期ボリンジャー2日_1.60倍_決済差額0.00,2014-08-19,2019-08-18,320.66,48.28,93.0,5.77,1.8,9.87,2.82,4.21,1.36,3.21,29.0
ETHUSD,超短期ボリンジャー4日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,290.71,51.85,148.0,3.0,1.09,2.74,1.0,3.21,1.17,2.74,54.0
ETHUSD,超短期ボリンジャー7日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,275.95,45.9,172.0,2.64,0.94,3.06,0.98,2.35,0.9,2.82,61.0
ETHUSD,超短期ボリンジャー5日_1.20倍_決済差額0.00,2014-08-19,2019-08-18,269.73,48.21,156.0,2.79,1.0,2.62,0.92,2.93,1.07,2.79,56.0
ETHUSD,超短期ボリンジャー11日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,265.15,45.45,149.0,2.78,1.03,4.37,1.44,1.55,0.63,2.71,55.0
ETHUSD,超短期ボリンジャー3日_2.00倍_決済差額0.00,2014-08-19,2019-08-18,258.93,42.86,116.0,3.72,1.35,5.95,2.08,2.48,0.92,2.76,42.0
ETHUSD,超短期ボリンジャー2日_1.70倍_決済差額0.00,2014-08-19,2019-08-18,257.25,40.0,102.0,4.32,1.48,6.32,2.24,3.41,1.15,2.91,35.0
ETHUSD,超短期ボリンジャー3日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,256.06,52.17,134.0,3.31,1.14,3.68,1.21,3.02,1.08,2.91,46.0
ETHUSD,超短期ボリンジャー4日_1.20倍_決済差額0.00,2014-08-19,2019-08-18,256.01,51.92,143.0,2.95,1.07,2.32,0.86,3.44,1.23,2.75,52.0
ETHUSD,超短期ボリンジャー2日_1.50倍_決済差額0.00,2014-08-19,2019-08-18,245.11,50.0,84.0,5.16,1.72,7.56,2.27,4.03,1.42,3.0,28.0
ETHUSD,超短期ボリンジャー12日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,242.03,42.11,155.0,2.58,0.95,4.24,1.41,1.29,0.52,2.72,57.0
ETHUSD,超短期ボリンジャー3日_1.20倍_決済差額0.00,2014-08-19,2019-08-18,240.22,48.98,142.0,3.03,1.05,3.52,1.15,2.68,0.96,2.9,49.0
ETHUSD,超短期ボリンジャー10日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,238.56,46.77,168.0,2.36,0.87,3.52,1.25,1.47,0.56,2.71,62.0
ETHUSD,超短期ボリンジャー3日_1.40倍_決済差額0.00,2014-08-19,2019-08-18,238.56,45.28,149.0,2.78,0.99,2.45,0.89,3.06,1.07,2.81,53.0
ETHUSD,超短期ボリンジャー5日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,237.96,45.76,165.0,2.51,0.9,1.8,0.63,3.11,1.13,2.8,59.0
ETHUSD,超短期ボリンジャー3日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,237.01,52.17,130.0,3.18,1.13,3.04,1.08,3.3,1.16,2.83,46.0
ETHUSD,超短期ボリンジャー7日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,231.75,44.44,173.0,2.37,0.86,2.31,0.8,2.41,0.92,2.75,63.0
ETHUSD,超短期ボリンジャー5日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,231.1,45.0,163.0,2.44,0.9,1.7,0.63,3.09,1.14,2.72,60.0
ETHUSD,超短期ボリンジャー9日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,228.48,45.16,167.0,2.37,0.88,3.69,1.26,1.41,0.56,2.69,62.0
ETHUSD,超短期ボリンジャー4日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,227.66,49.12,149.0,2.54,0.97,1.78,0.71,3.23,1.2,2.61,57.0
ETHUSD,超短期ボリンジャー3日_1.90倍_決済差額0.00,2014-08-19,2019-08-18,226.63,40.91,120.0,3.35,1.23,5.46,1.93,2.01,0.75,2.73,44.0
ETHUSD,超短期ボリンジャー3日_1.80倍_決済差額0.00,2014-08-19,2019-08-18,226.26,41.3,124.0,3.2,1.19,5.13,1.85,1.96,0.74,2.7,46.0
ETHUSD,超短期ボリンジャー11日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,220.25,41.38,154.0,2.42,0.91,4.03,1.38,1.19,0.48,2.66,58.0
ETHUSD,超短期ボリンジャー4日_1.30倍_決済差額0.00,2014-08-19,2019-08-18,214.34,46.15,144.0,2.7,0.98,2.42,0.92,2.9,1.01,2.77,52.0
ETHUSD,超短期ボリンジャー3日_1.30倍_決済差額0.00,2014-08-19,2019-08-18,211.97,45.28,148.0,2.64,0.95,2.44,0.86,2.8,1.01,2.79,53.0
ETHUSD,超短期ボリンジャー4日_1.70倍_決済差額0.00,2014-08-19,2019-08-18,207.3,40.38,142.0,2.72,1.0,2.54,0.94,2.87,1.04,2.73,52.0
ETHUSD,超短期ボリンジャー6日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,206.44,46.67,170.0,2.3,0.81,2.01,0.68,2.52,0.92,2.83,60.0
ETHUSD,超短期ボリンジャー6日_1.60倍_決済差額0.00,2014-08-19,2019-08-18,206.19,43.48,124.0,2.92,1.08,2.52,0.96,3.26,1.18,2.7,46.0
ETHUSD,超短期ボリンジャー8日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,206.08,47.37,160.0,2.46,0.88,4.02,1.27,1.41,0.55,2.81,57.0
ETHUSD,超短期ボリンジャー4日_1.60倍_決済差額0.00,2014-08-19,2019-08-18,205.51,43.4,147.0,2.67,0.96,2.23,0.82,3.03,1.07,2.77,53.0
ETHUSD,超短期ボリンジャー8日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,200.26,44.83,159.0,2.39,0.87,3.84,1.21,1.43,0.58,2.74,58.0
ETHUSD,超短期ボリンジャー2日_1.40倍_決済差額0.00,2014-08-19,2019-08-18,198.53,50.0,76.0,5.37,1.7,9.07,2.44,3.84,1.31,3.17,24.0
ETHUSD,超短期ボリンジャー7日_1.30倍_決済差額0.00,2014-08-19,2019-08-18,195.4,43.64,153.0,2.44,0.88,3.37,1.16,1.77,0.66,2.78,55.0
ETHUSD,超短期ボリンジャー6日_1.50倍_決済差額0.00,2014-08-19,2019-08-18,183.38,40.74,142.0,2.35,0.89,2.2,0.83,2.49,0.95,2.63,54.0
ETHUSD,超短期ボリンジャー5日_1.40倍_決済差額0.00,2014-08-19,2019-08-18,179.6,45.1,143.0,2.52,0.9,2.6,0.95,2.46,0.86,2.8,51.0
ETHUSD,超短期ボリンジャー8日_1.20倍_決済差額0.00,2014-08-19,2019-08-18,179.37,45.45,154.0,2.39,0.85,3.16,1.05,1.8,0.68,2.8,55.0
ETHUSD,超短期ボリンジャー5日_1.30倍_決済差額0.00,2014-08-19,2019-08-18,178.26,44.44,150.0,2.36,0.85,2.76,0.97,2.05,0.75,2.78,54.0
ETHUSD,超短期ボリンジャー2日_1.80倍_決済差額0.00,2014-08-19,2019-08-18,177.61,37.84,110.0,3.46,1.16,3.01,1.17,3.73,1.16,2.97,37.0
ETHUSD,超短期ボリンジャー13日_1.20倍_決済差額0.00,2014-08-19,2019-08-18,177.11,38.78,130.0,2.55,0.96,4.9,1.63,0.78,0.33,2.65,49.0
ETHUSD,超短期ボリンジャー15日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,175.65,39.22,137.0,2.45,0.91,4.73,1.55,0.72,0.3,2.69,51.0
ETHUSD,超短期ボリンジャー4日_1.90倍_決済差額0.00,2014-08-19,2019-08-18,174.92,39.13,121.0,2.87,1.09,2.21,0.87,3.34,1.24,2.63,46.0
ETHUSD,超短期ボリンジャー14日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,174.91,40.38,136.0,2.39,0.91,4.29,1.47,0.88,0.37,2.62,52.0
ETHUSD,超短期ボリンジャー12日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,170.7,40.74,138.0,2.27,0.89,3.98,1.43,0.89,0.38,2.56,54.0
ETHUSD,超短期ボリンジャー4日_1.80倍_決済差額0.00,2014-08-19,2019-08-18,168.07,38.0,135.0,2.56,0.95,2.47,0.92,2.62,0.97,2.7,50.0
ETHUSD,超短期ボリンジャー3日_1.70倍_決済差額0.00,2014-08-19,2019-08-18,163.8,39.22,136.0,2.52,0.94,2.43,0.93,2.6,0.96,2.67,51.0
ETHUSD,超短期ボリンジャー6日_1.30倍_決済差額0.00,2014-08-19,2019-08-18,158.67,44.64,156.0,2.17,0.78,2.5,0.87,1.92,0.71,2.79,56.0
ETHUSD,超短期ボリンジャー13日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,156.93,38.18,143.0,2.14,0.82,3.98,1.4,0.72,0.3,2.6,55.0
ETHUSD,超短期ボリンジャー3日_1.50倍_決済差額0.00,2014-08-19,2019-08-18,154.16,41.38,156.0,2.06,0.77,1.24,0.5,2.78,0.97,2.69,58.0
ETHUSD,超短期ボリンジャー3日_1.60倍_決済差額0.00,2014-08-19,2019-08-18,153.87,39.29,149.0,2.13,0.8,1.19,0.49,2.95,1.03,2.66,56.0
ETHUSD,超短期ボリンジャー15日_1.20倍_決済差額0.00,2014-08-19,2019-08-18,153.86,38.78,129.0,2.37,0.9,4.82,1.61,0.53,0.22,2.63,49.0
ETHUSD,超短期ボリンジャー14日_1.20倍_決済差額0.00,2014-08-19,2019-08-18,151.69,38.78,128.0,2.34,0.9,4.73,1.6,0.54,0.23,2.61,49.0
ETHUSD,超短期ボリンジャー6日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,150.84,42.62,172.0,1.92,0.68,1.72,0.6,2.08,0.75,2.82,61.0
ETHUSD,超短期ボリンジャー14日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,148.8,38.18,141.0,2.09,0.82,4.29,1.47,0.5,0.22,2.56,55.0
ETHUSD,超短期ボリンジャー4日_1.40倍_決済差額0.00,2014-08-19,2019-08-18,146.33,40.0,148.0,2.12,0.79,1.28,0.5,2.82,1.01,2.69,55.0
ETHUSD,超短期ボリンジャー6日_1.20倍_決済差額0.00,2014-08-19,2019-08-18,145.47,43.33,164.0,1.92,0.7,1.67,0.63,2.13,0.76,2.73,60.0
ETHUSD,超短期ボリンジャー2日_1.90倍_決済差額0.00,2014-08-19,2019-08-18,140.8,36.36,98.0,3.4,1.14,5.29,1.71,2.58,0.89,2.97,33.0
ETHUSD,超短期ボリンジャー7日_1.20倍_決済差額0.00,2014-08-19,2019-08-18,139.75,42.37,164.0,1.93,0.69,2.1,0.74,1.79,0.66,2.78,59.0
ETHUSD,超短期ボリンジャー4日_1.50倍_決済差額0.00,2014-08-19,2019-08-18,138.04,41.82,148.0,2.04,0.76,1.3,0.5,2.62,0.94,2.69,55.0
ETHUSD,超短期ボリンジャー14日_1.80倍_決済差額0.00,2014-08-19,2019-08-18,134.72,53.57,78.0,3.69,1.32,4.53,1.51,2.71,1.07,2.79,28.0
ETHUSD,超短期ボリンジャー13日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,133.59,35.85,133.0,2.03,0.81,4.08,1.44,0.46,0.2,2.51,53.0
ETHUSD,超短期ボリンジャー2日_1.20倍_決済差額0.00,2014-08-19,2019-08-18,132.51,50.0,67.0,4.15,1.49,5.03,1.74,3.62,1.32,2.79,24.0
ETHUSD,超短期ボリンジャー10日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,130.44,42.62,160.0,1.79,0.68,3.44,1.19,0.57,0.23,2.62,61.0
ETHUSD,超短期ボリンジャー15日_1.00倍_決済差額0.00,2014-08-19,2019-08-18,129.71,37.04,138.0,1.97,0.77,4.2,1.42,0.31,0.14,2.56,54.0
ETHUSD,超短期ボリンジャー5日_1.90倍_決済差額0.00,2014-08-19,2019-08-18,129.44,40.0,112.0,2.62,0.94,2.27,0.82,2.91,1.03,2.8,40.0
ETHUSD,超短期ボリンジャー11日_1.20倍_決済差額0.00,2014-08-19,2019-08-18,127.95,35.85,133.0,2.0,0.8,3.72,1.28,0.69,0.31,2.51,53.0
ETHUSD,超短期ボリンジャー5日_1.80倍_決済差額0.00,2014-08-19,2019-08-18,122.85,39.53,117.0,2.37,0.87,1.93,0.72,2.72,0.99,2.72,43.0
ETHUSD,超短期ボリンジャー14日_1.30倍_決済差額0.00,2014-08-19,2019-08-18,122.76,34.78,111.0,2.2,0.91,3.76,1.41,0.89,0.4,2.41,46.0
ETHUSD,超短期ボリンジャー15日_1.30倍_決済差額0.00,2014-08-19,2019-08-18,122.56,36.17,116.0,2.17,0.88,4.08,1.5,0.64,0.28,2.47,47.0
ETHUSD,超短期ボリンジャー7日_1.40倍_決済差額0.00,2014-08-19,2019-08-18,121.65,42.31,137.0,2.01,0.76,3.01,1.09,1.28,0.51,2.63,52.0
ETHUSD,超短期ボリンジャー2日_1.30倍_決済差額0.00,2014-08-19,2019-08-18,120.73,55.0,62.0,4.66,1.5,7.96,1.99,2.89,1.1,3.1,20.0
ETHUSD,超短期ボリンジャー6日_1.70倍_決済差額0.00,2014-08-19,2019-08-18,120.64,36.96,117.0,2.17,0.85,3.29,1.26,1.23,0.5,2.54,46.0
ETHUSD,超短期ボリンジャー6日_1.40倍_決済差額0.00,2014-08-19,2019-08-18,120.62,41.07,148.0,1.86,0.7,2.13,0.79,1.65,0.63,2.64,56.0
ETHUSD,超短期ボリンジャー4日_2.00倍_決済差額0.00,2014-08-19,2019-08-18,117.6,35.0,107.0,2.65,0.99,2.9,1.1,2.47,0.92,2.67,40.0
ETHUSD,超短期ボリンジャー5日_1.50倍_決済差額0.00,2014-08-19,2019-08-18,117.6,42.0,137.0,2.06,0.75,2.12,0.79,2.0,0.72,2.74,50.0
ETHUSD,超短期ボリンジャー15日_1.50倍_決済差額0.00,2014-08-19,2019-08-18,115.15,38.46,95.0,2.43,1.0,2.92,1.1,1.9,0.86,2.44,39.0
ETHUSD,超短期ボリンジャー9日_1.20倍_決済差額0.00,2014-08-19,2019-08-18,114.86,41.82,144.0,1.88,0.72,3.02,1.05,1.0,0.41,2.62,55.0
ETHUSD,超短期ボリンジャー12日_2.00倍_決済差額0.00,2014-08-19,2019-08-18,114.74,45.83,68.0,3.78,1.33,4.94,1.74,2.4,0.85,2.83,24.0
ETHUSD,超短期ボリンジャー14日_1.70倍_決済差額0.00,2014-08-19,2019-08-18,114.23,50.0,81.0,3.14,1.16,4.05,1.38,2.11,0.87,2.7,30.0
ETHUSD,超短期ボリンジャー9日_1.30倍_決済差額0.00,2014-08-19,2019-08-18,112.8,42.31,138.0,1.96,0.74,2.96,1.02,1.17,0.48,2.65,52.0
ETHUSD,超短期ボリンジャー12日_1.70倍_決済差額0.00,2014-08-19,2019-08-18,108.04,45.45,89.0,2.83,1.05,4.07,1.38,1.51,0.62,2.7,33.0
ETHUSD,超短期ボリンジャー15日_1.40倍_決済差額0.00,2014-08-19,2019-08-18,107.81,34.09,105.0,2.15,0.9,3.36,1.26,1.04,0.49,2.39,44.0
ETHUSD,超短期ボリンジャー13日_2.00倍_決済差額0.00,2014-08-19,2019-08-18,106.38,50.0,66.0,3.57,1.3,3.92,1.42,3.16,1.16,2.75,24.0
ETHUSD,超短期ボリンジャー12日_1.90倍_決済差額0.00,2014-08-19,2019-08-18,105.03,44.83,76.0,2.99,1.14,4.35,1.56,1.72,0.7,2.62,29.0
ETHUSD,超短期ボリンジャー14日_1.40倍_決済差額0.00,2014-08-19,2019-08-18,102.81,34.88,101.0,2.11,0.9,2.99,1.16,1.27,0.59,2.35,43.0
ETHUSD,超短期ボリンジャー15日_1.80倍_決済差額0.00,2014-08-19,2019-08-18,100.5,52.17,66.0,3.75,1.31,3.7,1.26,3.84,1.38,2.87,23.0
ETHUSD,超短期ボリンジャー13日_1.70倍_決済差額0.00,2014-08-19,2019-08-18,98.06,45.45,84.0,2.63,1.03,3.65,1.32,1.55,0.67,2.55,33.0
ETHUSD,超短期ボリンジャー15日_1.90倍_決済差額0.00,2014-08-19,2019-08-18,97.6,50.0,63.0,3.84,1.34,3.84,1.31,3.84,1.38,2.86,22.0
ETHUSD,超短期ボリンジャー13日_1.80倍_決済差額0.00,2014-08-19,2019-08-18,95.01,48.39,82.0,2.75,1.04,3.29,1.17,2.09,0.86,2.65,31.0
ETHUSD,超短期ボリンジャー15日_1.70倍_決済差額0.00,2014-08-19,2019-08-18,94.39,48.28,80.0,2.87,1.04,2.46,0.87,3.44,1.29,2.76,29.0
ETHUSD,超短期ボリンジャー10日_1.80倍_決済差額0.00,2014-08-19,2019-08-18,94.0,38.24,84.0,2.43,0.98,3.93,1.44,1.25,0.55,2.47,34.0
ETHUSD,超短期ボリンジャー2日_1.10倍_決済差額0.00,2014-08-19,2019-08-18,93.49,55.56,55.0,4.34,1.42,4.63,1.6,4.06,1.26,3.06,18.0
