symbol,strategy,start_date,end_date,平均騰落率,平均勝率,平均取引日数,平均期待損益率,一日当たりの期待損益率平均,平均期待損益率long,一日当たりの期待損益率平均long,平均期待損益率short,一日当たりの期待損益率平均short,取引当たりの平均日数,平均取引数
AUDJPY,超短期ボリンジャー8日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,18.49,41.61,542.0,0.11,0.03,0.09,0.03,0.13,0.04,3.37,161.0
AUDJPY,超短期ボリンジャー9日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,18.44,40.26,531.0,0.11,0.03,0.09,0.03,0.14,0.04,3.45,154.0
AUDJPY,超短期ボリンジャー6日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,16.85,43.78,620.0,0.09,0.03,0.01,0.0,0.17,0.05,3.35,185.0
AUDJPY,超短期ボリンジャー8日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,14.92,41.61,512.0,0.1,0.03,0.07,0.02,0.13,0.04,3.44,149.0
AUDJPY,超短期ボリンジャー4日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,13.45,41.75,362.0,0.13,0.04,0.03,0.01,0.23,0.06,3.51,103.0
AUDJPY,超短期ボリンジャー9日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,13.35,39.58,494.0,0.09,0.03,0.06,0.02,0.13,0.04,3.43,144.0
AUDJPY,超短期ボリンジャー9日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,12.89,40.36,558.0,0.08,0.02,0.05,0.02,0.1,0.03,3.36,166.0
AUDJPY,超短期ボリンジャー7日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,12.5,41.57,586.0,0.07,0.02,-0.02,-0.01,0.17,0.05,3.29,178.0
AUDJPY,超短期ボリンジャー10日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,12.4,40.88,472.0,0.09,0.03,0.0,0.0,0.19,0.05,3.45,137.0
AUDJPY,超短期ボリンジャー9日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,12.12,39.89,594.0,0.07,0.02,0.07,0.02,0.07,0.02,3.34,178.0
AUDJPY,超短期ボリンジャー8日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,11.01,40.7,576.0,0.07,0.02,0.04,0.01,0.1,0.03,3.35,172.0
AUDJPY,超短期ボリンジャー10日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,11.0,38.55,555.0,0.07,0.02,0.05,0.02,0.09,0.03,3.34,166.0
AUDJPY,超短期ボリンジャー8日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,10.24,38.41,463.0,0.08,0.02,0.03,0.01,0.12,0.03,3.36,138.0
AUDJPY,超短期ボリンジャー9日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,10.2,40.44,607.0,0.06,0.02,0.04,0.01,0.07,0.02,3.32,183.0
AUDJPY,超短期ボリンジャー10日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,9.89,38.51,581.0,0.06,0.02,0.04,0.01,0.08,0.02,3.34,174.0
AUDJPY,超短期ボリンジャー7日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,9.64,42.17,553.0,0.06,0.02,0.0,0.0,0.12,0.03,3.33,166.0
AUDJPY,超短期ボリンジャー9日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,9.26,36.57,445.0,0.07,0.02,0.01,0.0,0.13,0.04,3.32,134.0
AUDJPY,超短期ボリンジャー6日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,9.18,36.96,303.0,0.1,0.03,0.04,0.01,0.16,0.05,3.29,92.0
AUDJPY,超短期ボリンジャー5日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,8.76,39.89,564.0,0.05,0.02,-0.02,-0.01,0.12,0.04,3.17,178.0
AUDJPY,超短期ボリンジャー6日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,8.55,41.62,612.0,0.05,0.02,-0.04,-0.01,0.14,0.04,3.31,185.0
AUDJPY,超短期ボリンジャー8日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,8.05,40.44,607.0,0.05,0.02,-0.02,-0.01,0.12,0.03,3.32,183.0
AUDJPY,超短期ボリンジャー10日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,7.98,39.33,509.0,0.06,0.02,-0.02,-0.01,0.14,0.04,3.39,150.0
AUDJPY,超短期ボリンジャー7日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,7.87,41.4,608.0,0.05,0.02,-0.05,-0.02,0.15,0.04,3.27,186.0
AUDJPY,超短期ボリンジャー13日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,7.59,41.84,495.0,0.06,0.02,-0.02,-0.01,0.14,0.04,3.51,141.0
AUDJPY,超短期ボリンジャー6日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,7.15,35.45,361.0,0.07,0.02,0.01,0.0,0.13,0.04,3.28,110.0
AUDJPY,超短期ボリンジャー4日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,6.59,40.43,466.0,0.05,0.02,-0.01,0.0,0.11,0.03,3.3,141.0
AUDJPY,超短期ボリンジャー7日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,6.58,39.13,527.0,0.04,0.01,-0.03,-0.01,0.13,0.04,3.27,161.0
AUDJPY,超短期ボリンジャー4日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,6.4,39.52,423.0,0.06,0.02,-0.04,-0.01,0.16,0.04,3.41,124.0
AUDJPY,超短期ボリンジャー9日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,6.24,36.0,415.0,0.05,0.02,-0.02,-0.01,0.14,0.04,3.32,125.0
AUDJPY,超短期ボリンジャー6日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,6.11,40.14,479.0,0.05,0.01,-0.04,-0.01,0.14,0.04,3.37,142.0
AUDJPY,超短期ボリンジャー11日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,6.05,41.74,402.0,0.06,0.02,-0.02,-0.01,0.13,0.04,3.5,115.0
AUDJPY,超短期ボリンジャー10日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,5.56,36.81,599.0,0.03,0.01,0.01,0.0,0.06,0.02,3.29,182.0
AUDJPY,超短期ボリンジャー5日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,5.44,38.32,349.0,0.06,0.02,0.0,0.0,0.11,0.03,3.26,107.0
AUDJPY,超短期ボリンジャー5日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,5.42,40.0,310.0,0.06,0.02,-0.02,-0.01,0.16,0.04,3.44,90.0
AUDJPY,超短期ボリンジャー11日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,5.35,38.1,553.0,0.04,0.01,0.0,0.0,0.07,0.02,3.29,168.0
AUDJPY,超短期ボリンジャー12日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,5.32,40.51,531.0,0.04,0.01,-0.02,-0.01,0.1,0.03,3.36,158.0
AUDJPY,超短期ボリンジャー7日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,5.06,39.69,630.0,0.03,0.01,-0.05,-0.02,0.12,0.03,3.25,194.0
AUDJPY,超短期ボリンジャー10日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,5.05,38.36,523.0,0.04,0.01,-0.04,-0.01,0.12,0.03,3.29,159.0
AUDJPY,超短期ボリンジャー8日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,4.3,38.42,607.0,0.03,0.01,-0.05,-0.02,0.1,0.03,3.19,190.0
AUDJPY,超短期ボリンジャー4日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,4.01,38.2,301.0,0.05,0.01,-0.07,-0.02,0.19,0.05,3.38,89.0
AUDJPY,超短期ボリンジャー14日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,3.92,41.6,439.0,0.04,0.01,-0.06,-0.02,0.14,0.04,3.51,125.0
AUDJPY,超短期ボリンジャー11日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,3.91,35.2,589.0,0.03,0.01,0.01,0.0,0.05,0.01,3.29,179.0
AUDJPY,超短期ボリンジャー5日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,3.91,36.63,544.0,0.03,0.01,-0.02,-0.01,0.08,0.02,3.16,172.0
AUDJPY,超短期ボリンジャー2日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,3.72,36.36,207.0,0.06,0.02,0.07,0.02,0.06,0.02,3.14,66.0
AUDJPY,超短期ボリンジャー7日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,3.68,38.41,482.0,0.03,0.01,-0.04,-0.01,0.11,0.03,3.19,151.0
AUDJPY,超短期ボリンジャー8日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,3.59,34.65,416.0,0.03,0.01,-0.03,-0.01,0.1,0.03,3.28,127.0
AUDJPY,超短期ボリンジャー5日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,2.98,38.07,548.0,0.02,0.01,-0.03,-0.01,0.08,0.02,3.11,176.0
AUDJPY,超短期ボリンジャー11日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,2.93,37.36,577.0,0.02,0.01,-0.02,-0.01,0.06,0.02,3.32,174.0
AUDJPY,超短期ボリンジャー8日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,2.88,34.17,395.0,0.03,0.01,-0.02,-0.01,0.09,0.03,3.29,120.0
AUDJPY,超短期ボリンジャー9日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,2.76,40.22,315.0,0.04,0.01,-0.11,-0.03,0.21,0.06,3.42,92.0
AUDJPY,超短期ボリンジャー7日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,2.33,36.43,446.0,0.02,0.01,-0.04,-0.01,0.09,0.03,3.19,140.0
AUDJPY,超短期ボリンジャー13日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,2.04,41.03,530.0,0.02,0.01,-0.05,-0.02,0.1,0.03,3.4,156.0
