symbol,strategy_name,strategy_option,end_date,"全期間騰落率_複利","利益率3か月","利益率1年","利益率3年","利益率15年","最大ドローダウン","最大ドローダウン3か月","最大ドローダウン1年","最大ドローダウン3年","最大ドローダウン15年","期待利益率3か月","期待利益率3か月long","期待利益率3か月short","期待利益率1年","期待利益率1年long","期待利益率1年short","期待利益率3年","期待利益率3年long","期待利益率3年short","期待利益率15年","期待利益率15年long","期待利益率15年short","全期間期待利益率","全期間期待利益率long","全期間期待利益率short","利益率3か月long","利益率3か月short","利益率1年long","利益率1年short","利益率3年long","利益率3年short","利益率15年long","利益率15年short","勝率","平均取引期間","取引数","取引数long","取引数short","ペイオフレシオ"
6753.T,Bollingerband/DailyTrail,SMA4SD1.2,2019-09-20,32947.6782,0.3069,0.5404,1.6623,5.625,0.4107,0.0043,0.0175,0.0662,0.4107,0.0049,0.012,0.0018,0.0021,0.0027,0.0073,0.0022,0.0067,0.0038,0.0015,0.0044,0.0031,0.0075,0.0092,0.0058,0.2998,0.0071,0.1255,0.4149,1.0411,0.6212,3.1829,2.4421,41.2048,3.1795,830,398,432,2.1876
9501.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,31337.9802,-0.024,-0.0346,0.4445,4.685,0.5057,0.0049,0.0349,0.047,0.5057,-0.0004,-0.0078,0.0029,-0.0001,-0.0025,0.0016,0.0006,0.0016,0.0012,0.0013,0.0034,0.0029,0.0068,0.0072,0.0065,-0.0785,0.0545,-0.1236,0.089,0.2496,0.1949,2.5212,2.1638,37.8267,3.5653,727,359,368,2.1117
5401.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,24068.5928,0.1286,0.1168,0.0747,3.7657,0.5847,0.0016,0.0498,0.1075,0.486,0.002,-0.0012,0.0083,0.0005,-0.0011,0.0028,0.0001,-0.0009,0.0013,0.001,0.0024,0.0023,0.0048,0.0054,0.0043,-0.0124,0.141,-0.0444,0.1612,-0.135,0.2097,1.9515,1.8142,38.0717,3.5377,809,410,399,2.4506
9104.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,21249.6176,0.2434,0.2975,0.3553,4.0272,0.7439,0.0046,0.012,0.0571,0.6757,0.0039,0.0084,0.0045,0.0012,0.0022,0.0035,0.0005,0.0012,0.001,0.0011,0.0021,0.0031,0.0053,0.0041,0.0066,0.1855,0.0579,0.1283,0.1692,0.195,0.1603,1.706,2.3212,38.6256,3.2322,844,443,401,2.6113
9983.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,20841.2617,-0.0037,0.0646,0.2612,2.7379,0.7472,0.0813,0.169,0.2243,0.7472,-0.0001,0.0001,-0.0004,0.0003,0.0017,-0.0006,0.0003,0.0017,-0.0002,0.0007,0.0029,0.0005,0.0044,0.0064,0.002,0.0012,-0.0049,0.0935,-0.0289,0.2854,-0.0242,2.4067,0.3312,36.506,3.1253,830,439,391,2.0703
2428.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,16093.1846,0.1506,0.0762,0.0854,445.5208,0.1038,0.0001,0.001,0.0036,0.076,0.0024,0.0053,0.0057,0.0003,-0.0023,0.0028,0.0001,-0.0012,0.0017,0.1209,0.7029,-0.0021,0.6854,1.5153,-0.0043,0.0371,0.1135,-0.0696,0.1458,-0.144,0.2294,447.0133,-1.4925,22.9231,2.7215,650,295,355,31.6428
5711.T,Bollingerband/DailyTrail,SMA14SD0.7,2019-09-20,15868.8131,0.1016,0.3345,0.7902,4.6217,0.3051,0.0038,0.007,0.0139,0.2383,0.0016,0.006,0.0008,0.0013,0.0026,0.0028,0.001,0.0034,0.0011,0.0012,0.003,0.0022,0.0065,0.0075,0.0056,0.0838,0.0178,0.1499,0.1846,0.5992,0.191,2.7777,1.844,41.0755,3.4348,874,435,439,2.4159
7261.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,15628.8894,0.2125,0.1548,0.0396,4.2094,0.9164,0.008,0.0432,0.1519,0.6523,0.0034,0.0079,0.0115,0.0006,-0.0015,0.0038,0.0001,-0.0001,0.0003,0.0011,0.0034,0.0021,0.0047,0.0059,0.0034,0.0629,0.1496,-0.0565,0.2113,-0.0091,0.0487,2.6133,1.5961,35.0061,3.2815,817,425,392,2.3981
6701.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,15513.9015,-0.0792,-0.1383,-0.1235,3.5196,0.4364,0.037,0.0617,0.0694,0.4364,-0.0013,-0.003,-0.0018,-0.0005,-0.0002,-0.003,-0.0002,0.0006,-0.0021,0.0009,0.0024,0.0022,0.0059,0.0061,0.0057,-0.0576,-0.0216,-0.0164,-0.1219,0.1025,-0.226,1.9484,1.5712,39.8477,3.5228,788,397,391,2.4131
8316.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,15467.0326,0.0464,0.1394,0.1803,2.9621,0.779,0.0254,0.0569,0.351,0.763,0.0007,0.0009,0.0036,0.0006,0.0002,0.0023,0.0002,0.0007,0.0005,0.0008,0.0019,0.0019,0.0039,0.0031,0.0048,0.007,0.0394,0.0095,0.1299,0.0949,0.0854,1.395,1.5671,39.7406,3.283,848,432,416,1.8149
